Gene
Aurkb
Ccna2
Scrn1
Npy
Atp7b
Chaf1b
Ccnb1
Cldn8
Nrp1
Ccr2
C1qb
Cd74
Vcam1
Cd180
Itgb2
Cd72
St8sia4
Reference: https://doi-org.ezproxy.lib.calpoly.edu/10.1073/pnas.1201105109
