,ESR1,AURKA,ERBB2,Subtype
0,0.2475113686751192,0.0229049424327452,0.1657558299338506,Normal
1,0.7489990130661142,0.2993100441251192,0.3059062999051435,LumB
2,0.8286799617454029,0.20943556475717,0.3997625076882264,LumB
3,0.6889797391716068,0.396503775795206,0.4252073308740951,Normal Like
4,0.8035492549845229,0.3714630376961735,0.4233944799785937,LumA
5,0.7091588785223798,0.431968630542228,0.5121034554518935,HER2+
6,0.3388039316224852,0.5544915356488755,0.8823609895893034,HER2+
7,0.7442206971342745,0.3899713264394354,0.4756711466606852,LumB
8,0.4283524235063732,0.1314595849988855,0.3264527512733824,Normal
9,0.7998848218979848,0.2089956967360436,0.4214212836875517,LumA
10,0.6742434115614274,0.0599326784467686,0.3834705420667483,Normal
11,0.894889544015555,0.306033487897839,0.4662404326863554,LumA
12,0.5708935786232028,0.2246225083400796,0.3133838653731207,Normal Like
13,0.852205203174593,0.3395909435625335,0.3463957211481313,LumB
14,0.7280781105908132,0.3089139515677686,0.384104334318504,LumA
15,0.0852855970689617,0.4007687425967895,0.3034784398788271,HER2+
16,0.7130243929977379,0.1829575422161743,0.4629296977230462,LumA
17,0.968915222806658,0.6220670669092008,0.2003145008817432,LumB
18,0.5792499184510321,0.3495348668624767,0.4237049590787767,Normal
19,0.2737330995878649,0.0601227898601396,0.2537872466167623,Normal Like
20,0.5724127011666271,0.223381589091734,0.3952749621852689,LumA
21,0.5290634722360471,0.3188579674231279,0.2532800346671903,Normal Like
22,0.3663978497508754,0.1010163696231969,0.4349375660975245,Normal
23,0.6173204344980908,0.2176358710872408,0.4415278496863898,LumA
24,0.7854581316209096,0.2560273190344898,0.3697006204027632,LumB
25,0.5932762051379963,0.1095851336454636,0.4591403792244843,LumA
26,0.7238846161611341,0.2628483478572666,0.3786136186921565,LumA
27,0.4315671560232796,0.1255032262946546,0.3447185593296138,Normal Like
28,0.5900206123710372,0.3928883365131354,0.3692980790343418,LumB
29,0.8119580087728087,0.1775222630289966,0.4359275042198496,LumA
30,0.7800627691778876,0.1770601675803655,0.3997047843182027,Normal Like
31,0.0685143571975398,0.5385728762919214,0.2777810040462022,Basal
32,0.7143912025616296,0.6416378166531824,0.6672383539664448,LumB
33,0.6464966140064387,0.1754422349367355,0.4793480931492456,LumA
34,0.5755398331804703,0.3160479393976904,0.7400814743031418,LumA
35,0.0944327105812202,0.3636760742650125,0.2366105408887125,Basal
36,0.843705619704972,0.2009345547921863,0.3932673258413642,LumA
37,0.3003200419851115,0.0816444039065869,0.2505050493453852,Normal
38,0.7700909142394788,0.3001347936799955,0.5107367792386388,LumA
39,0.1405140895008332,0.617092638268497,0.2205006055768641,Basal
40,0.8580087738921446,0.1591859056799253,0.5029306384641916,LumA
41,0.6334468918065859,0.3077132322464647,0.5668066865439617,Normal Like
42,0.6368197864368301,0.0415400074890339,0.377567856876949,Normal
43,0.8194217163840894,0.5966587851241297,0.3020997580496214,LumB
44,0.8182567112323798,0.4286447009694215,0.375836599022267,LumB
45,0.5561496682750482,0.0677202596620222,0.3880590743351286,Normal
46,0.8482508158865836,0.2424119637910351,0.3876166853354287,LumB
47,0.7378556380045411,0.3376214920526947,0.4249979130188294,LumB
48,0.7780151023867564,0.2022340525512906,0.4810947179721222,LumA
49,0.7968417420103647,0.4117343104152609,0.3649673950315032,LumB
50,0.8713297245042683,0.2625545680108743,0.2707855134567707,LumA
51,0.5294396107439989,0.2519657451737582,0.3988566074877069,LumA
52,0.6945213534301334,0.1524234267568292,0.4501939144989031,LumA
53,0.5400797845635344,0.0948922066797197,0.3771263323963748,Normal
54,0.5273420838656304,0.0770409381073225,0.4332140775878454,LumA
55,0.5981971960278345,0.1841021410521309,0.3937920537835909,LumA
56,0.8464093998943211,0.2005084388668758,0.4155000510461611,LumA
57,0.7257744546536465,0.1610137343448757,0.4401986475338166,LumA
58,0.4175273158148155,0.4006826569228632,0.3156452920082565,LumB
59,0.0877201771113954,0.2505405062052931,0.216871286995203,Basal
60,0.5901723671753504,0.3974529613976753,0.3731406886468704,LumB
61,0.7444923451805666,0.3642421178059911,0.3906841162473275,Normal Like
62,0.8443129027611823,0.4157409751467302,0.4467327946766914,LumB
63,0.0874968722557732,0.3849124391524195,0.3811994633105962,Basal
64,0.569346935948572,0.189530622765822,0.3883733155630053,LumA
65,0.0502618030473194,0.6406428629713715,0.348472499245799,Basal
66,0.7530125868407852,0.3149487483501375,0.4478173192714176,LumA
67,0.8137384524217722,0.2967411162754733,0.4427396081713846,LumA
68,0.8408938819318478,0.4126335623253042,0.3964714324690674,LumB
69,0.3911037449884935,0.580683181305588,0.2898068989449299,LumB
70,0.6922498488521147,0.3656060971678797,0.5504296084356076,LumB
71,0.4517451492386454,0.3336777933297645,0.8430465578878252,LumA
72,0.6728919914813192,0.2437851433213423,0.4128952599137263,LumA
73,0.0711708755012898,0.4664437597438341,0.7745009618818522,HER2+
74,0.6330880635611208,0.457518721498642,0.4542070721002977,LumB
75,0.5754797922720659,0.5326711231311106,0.5689197059080403,HER2+
76,0.1070320419065662,0.3902563576358638,0.0736767688829788,Basal
77,0.615211862716089,0.0950002970456582,0.3903242614455317,LumA
78,0.6577311001352967,0.2624524775007756,0.3173998329903318,LumA
79,0.8151134394644675,0.2482980723356094,0.4673245243419526,LumA
80,0.2158246703507415,0.4062632347872199,0.8386144360020903,HER2+
81,0.7534446639456495,0.2649632119212258,0.4233308275092625,LumA
82,0.5752833589319166,0.4134804385133955,0.626399902536783,HER2+
83,0.1758137273366958,0.1972900028678583,0.6605810279356292,Normal Like
84,0.5071579604957781,0.1032763366807459,0.4237828788117344,Normal
85,0.8841236571807373,0.5128204416686958,0.42596618711568,LumB
86,0.0651581754777895,0.5143613522217881,0.3876076347719777,Basal
87,0.6484106803272132,0.0883578413787457,0.3742519253050455,LumA
88,0.5583562080364258,0.3199992918893736,0.3557003515766737,LumA
89,0.6353129994635163,0.3684770839682793,0.4048283207283747,LumB
90,0.7491253082691346,0.3337084053013074,0.4010322708009614,LumB
91,0.824673011342008,0.243936617493489,0.3324752172240369,LumA
92,0.8044031166662022,0.4821523765070141,0.6056372559780833,LumB
93,0.2491203237340951,0.4406200173415535,0.6876386658009311,HER2+
94,0.5816763470580419,0.2797119262158005,0.3415386684059463,LumA
95,0.4096145177984374,0.2179597841100101,0.4340211090479167,LumA
96,0.4901666193287582,0.0329786131597053,0.3283927957877575,Normal
97,0.7261300271379733,0.2799927173716046,0.4354917110076168,LumB
98,0.6173023012488451,0.3457434607963756,0.352682426620782,Basal
99,0.0654454728760817,0.4025159772320806,0.3516656687487642,Basal
100,0.6798048983323828,0.2538972725371629,0.4265103244615965,HER2+
