Gene
HIST1H4F
INA
NEUROD1
IRF4
AKR1B1
MIR129-2
FOXC2
WDR69
C1orf114
CPXM1
POU4F1
CDKL2
GABRA4
Reference: https://doi-org.ezproxy.lib.calpoly.edu/10.4161/epi.29632
