,Gene
0,DBF4B
1,E2F7
2,ESPL1
3,UBE2C
4,SC65
5,BRCA1
6,LLGL2
7,CCNE2
8,FAM83D
9,CCND1
10,SPAG5
11,PSMC3IP
12,CABLES2
13,RAD54B
14,TUBG1
15,TLK2
16,CIT
17,TERF1
